Monthly, seasonal, and annual means of the airtemperature in tenths
of centigrade in De Bilt, Netherlands, 1706.
(c) Copyright KNMI De Bilt, Netherlands, 2007.
Component observational series:
Delft/Rijnsburg (1706-1734), Zwanenburg (1735-1800 & 1811-1848),
Haarlem (1801-1810) and Utrecht (1849-1897) reduced to De Bilt
and De Bilt (1898-present)
Sources for monthly mean airtemperatures:
* "Het klimaat van Nederland gedurende de laatste twee en een halve eeuw",
   A. Labrijn, M&V 49, KNMI, 1945. [1735-1900]
* "Nicolaus Cruquius (1678-1754) and his meteorological observations"'
   A. van Engelen & H. Geurts, publ. 165-IV, KNMI, 1985. [1706-1734]
* "Het klimaat van het hoofdobservatorium De Bilt in de jaren 1901-1984",
   Klimatologische Dienst, publ. 150-25, KNMI, 1985. [1901-1984]
* "Maandoverzicht van het weer in Nederland",
   Klimatologische Dienst, Vol. 82-100, KNMI. [1985-heden]
Note:
The seasonal and annual mean temperatures have been computed from
the monthly means rounded to tenths of centigrades

      Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Year  Win Spr Sum Aut

 1706   5  32  55  87 146 170 174 173 140 110  44  23   97       96 172  98
 1707   7  49  47  83 120 168 181 159 149  90  65  19   95   26  83 169 101
 1708  39  31  59  95 122 146 154 185 159  92  54   4   95   30  92 162 102
 1709 -51  -3  11  92 116 153 161 162 145 109  78  25   83  -17  73 159 111
 1710   4  18  56  70 133 150 152 161 147 108  70  55   94   16  86 154 108
 1711  32   6  50  98 127 168 160 154 142 106  60  34   95   31  92 161 103
 1712  -1  36  44  88 128 162 167 160 140 109  67  27   94   23  87 163 105
 1713  -9  56  43  64 116 134 150 166 149 106  52  28   88   25  74 150 102
 1714  13  44  53  90 108 144 185 161 130 110  63  27   94   28  84 163 101
 1715   2  42  61 107 121 145 156 148 141 118  79 -12   92   24  96 150 113
 1716 -57  22  39 102 118 141 164 168 134  96  52  15   83  -16  86 158  94
 1717  12  14  37  82 107 152 160 165 142 100  52  38   88   14  75 159  98
 1718 -14  -2  49  94 130 160 162 202 160 102  69  37   96    7  91 175 110
 1719   5  31  39  67 140 177 186 183 132  94  67   8   94   24  82 182  98
 1720  23  35  34  79 128 125 172 157 124  94  54  39   89   22  80 151  91
 1721  30   8  11 100 107 152 171 177 152  99  73  22   92   26  73 167 108
 1722   3  45  58  96 120 150 177 167 156 115  75  37  100   23  91 165 115
 1723  -3  32  67  94 129 155 154 171 148 123  84  50  100   22  97 160 118
 1724  42  42  41  78 123 166 169 181 151  97  39  21   96   45  81 172  96
 1725  17   9  37  82 102 112 147 135 126  93  66  23   79   16  74 131  95
 1726 -24   8  28  90 146 161 174 155 151 105  48   4   87    2  88 163 101
 1727  20  32  36  70 151 153 167 175 148 111  46  18   94   19  86 165 102
 1728  30  18  69  86 133 171 176 171 137  97  65   4   96   22  96 173 100
 1729 -24  13  19  71 112 163 174 173 164 113  66  48   91   -2  67 170 114
 1730  22  31  52  92 125 142 173 176 151  87  81  31   97   34  90 164 106
 1731  12   2  42  70 120 155 170 177 156 130  73  38   95   15  77 167 120
 1732   4  37  58  96 122 144 169 171 151 109  61   9   94   26  92 161 107
 1733  49  45  57 108 115 152 195 177 133  95  65  59  104   34  93 175  98
 1734  23  49  71 102 120 150 175 174 148  95  34  21   97   44  98 166  92
